id,customer_id,calculation_type,origin,destination,weight_in_tonnes,specific_method,created_at,updated_at,co2_in_g,file_name
657,CVO-34143,truck,"Gennevilliers, France","Roma, Italy",0.002,"",2021-09-07 16:13:13 UTC,2021-09-07 16:13:13 UTC,176,Convelio202109071809220200
658,CVO-33331,truck,"Paris, France","Coutances, France",0.002,"",2021-09-07 16:13:19 UTC,2021-09-07 16:13:19 UTC,44,Convelio202109071809220200
659,CVO-28241,truck,"Gennevilliers, France","Liverpool, United Kingdom",0.002,"",2021-09-07 16:13:20 UTC,2021-09-07 16:13:20 UTC,98,Convelio202109071809220200
660,CVO-13703,air_freight,"Paris, France","New York, United States",0.002,freighter,2021-09-07 16:13:21 UTC,2021-09-07 16:13:21 UTC,5527,Convelio202109071809220200
661,CVO-27714,air_freight,"Gennevilliers, France","New York, United States",0.002,freighter,2021-09-07 16:13:22 UTC,2021-09-07 16:13:22 UTC,5521,Convelio202109071809220200
662,CVO-25872,air_freight,"Gennevilliers, France","Houston, United States",0.002,freighter,2021-09-07 16:13:25 UTC,2021-09-07 16:13:25 UTC,7759,Convelio202109071809220200
663,CVO-33636,truck,"Paris, France","Knokke-Heist, Belgium",0.002,"",2021-09-07 16:13:26 UTC,2021-09-07 16:13:26 UTC,45,Convelio202109071809220200
664,CVO-34036,truck,"Paris, France","London, United Kingdom",0.002,"",2021-09-07 16:13:27 UTC,2021-09-07 16:13:27 UTC,54,Convelio202109071809220200
665,CVO-19591,air_freight,"Paris, France","Hong Kong, Hong Kong",0.002,freighter,2021-09-07 16:13:28 UTC,2021-09-07 16:13:28 UTC,9222,Convelio202109071809220200
666,CVO-27052,truck,"Gennevilliers, France","Woking, United Kingdom",0.002,"",2021-09-07 16:13:29 UTC,2021-09-07 16:13:29 UTC,53,Convelio202109071809220200
667,CVO-26390,air_freight,"Gennevilliers, France","Shibuya, Japan",0.002,freighter,2021-09-07 16:13:30 UTC,2021-09-07 16:13:30 UTC,9303,Convelio202109071809220200
668,CVO-32036,air_freight,"Paris, France","Musashino, Japan",0.002,freighter,2021-09-07 16:13:31 UTC,2021-09-07 16:13:31 UTC,9296,Convelio202109071809220200
669,CVO-29611,truck,"Paris, France","London, United Kingdom",0.002,"",2021-09-07 16:13:32 UTC,2021-09-07 16:13:32 UTC,54,Convelio202109071809220200
670,CVO-25951,air_freight,"Paris, France","Seoul, South Korea",0.002,freighter,2021-09-07 16:13:33 UTC,2021-09-07 16:13:33 UTC,8598,Convelio202109071809220200
671,CVO-35174,air_freight,"Paris, France","Taipei City, Taiwan",0.002,freighter,2021-09-07 16:13:34 UTC,2021-09-07 16:13:34 UTC,9416,Convelio202109071809220200
672,CVO-30778,air_freight,"Paris, France","Weston, United States",0.002,freighter,2021-09-07 16:13:36 UTC,2021-09-07 16:13:36 UTC,7028,Convelio202109071809220200
673,CVO-25990,air_freight,"Gennevilliers, France","Kyoto, Japan",0.002,freighter,2021-09-07 16:13:36 UTC,2021-09-07 16:13:36 UTC,9207,Convelio202109071809220200
